Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
All Countries,,,,,Average,16.5,87.9,...,11.6,0.9,...,...,39.0,...,16.3,49.5,...,...,...
East Asia & Pacific,,,,,Average,15.6,86.0,...,13.5,0.6,...,...,55.1,...,12.4,47.5,...,...,...
Europe & Central Asia,,,,,Average,12.9,93.7,...,6.9,1.6,...,...,9.8,...,21.2,33.2,...,...,...
High income: nonOECD,,,,,Average,18.3,89.7,...,11.7,0.6,...,...,29.7,...,17.1,52.9,...,...,...
High income: OECD,,,,,Average,18.8,88.9,...,12.2,0.2,...,...,15.2,...,33.1,49.5,...,...,...
Latin America & Caribbean,,,,,Average,19.9,89.6,...,11.1,0.3,...,...,35.3,...,14.3,59.5,...,...,...
Middle East & North Africa,,,,,Average,18.4,95.0,...,5.8,0.3,...,...,48.5,...,11.3,55.4,...,...,...
South Asia,,,,,Average,16.9,98.4,...,1.8,0.5,...,...,69.9,...,17.2,46.3,...,...,...
Sub-Saharan Africa,,,,,Average,14.6,78.0,...,18.2,1.7,...,...,54.8,...,11.9,51.5,...,...,...
Afghanistan,2008,,,,Average,7.1,96.5,...,4.3,0.0,...,...,62.8,...,8.5,58.3,...,...,...
Afghanistan,2008,Sector,Manufacturing,All,Average,7.0,97.8,...,4.1,0.0,...,...,67.7,...,9.1,61.1,...,...,...
Afghanistan,2008,Sector,Manufacturing,Manufacturing,Average,7.0,97.8,...,4.1,0.0,...,...,67.7,...,9.1,61.1,...,...,...
Afghanistan,2008,Sector,Services,All,Average,7.1,96.1,...,4.4,0.0,...,...,61.3,...,8.4,57.3,...,...,...
Afghanistan,2008,Sector,Services,Construction,Average,4.9,95.4,...,2.9,0.0,...,...,47.7,...,4.1,60.5,...,...,...
Afghanistan,2008,Sector,Services,Retail,Average,8.9,96.6,...,3.9,0.0,...,...,76.2,...,10.8,46.6,...,...,...
Afghanistan,2008,Sector,Services,Other Services,Average,8.6,96.6,...,6.8,0.0,...,...,67.2,...,11.9,60.2,...,...,...
Afghanistan,2008,Size,,Small (5-19),Average,7.1,96.9,...,4.1,0.0,...,...,68.3,...,7.0,53.4,...,...,...
Afghanistan,2008,Size,,Medium (20-99),Average,6.8,96.7,...,3.4,0.0,...,...,56.8,...,12.4,63.4,...,...,...
Afghanistan,2008,Size,,Large (100+),Average,7.4,92.9,...,9.5,0.0,...,...,38.1,...,7.5,73.7,...,...,...
Afghanistan,2008,Location,,"5 Smaller Cities (Bamyan,Ghazni,Khost,Kunduz,Pul-E-Khumri)",Average,8.4,93.4,...,5.1,0.0,...,...,70.7,...,8.1,40.6,...,...,...
Afghanistan,2008,Location,,Hirat,Average,7.8,99.0,...,1.5,0.0,...,...,40.3,...,7.5,86.4,...,...,...
Afghanistan,2008,Location,,Jalalabad,Average,7.0,96.7,...,0.0,0.0,...,...,68.9,...,1.6,23.4,...,...,...
Afghanistan,2008,Location,,Kabul,Average,6.9,97.6,...,3.4,0.0,...,...,55.2,...,15.6,75.2,...,...,...
Afghanistan,2008,Location,,Kandahar,Average,6.9,91.4,...,19.0,0.0,...,...,67.8,...,1.9,29.6,...,...,...
Afghanistan,2008,Location,,Mazar,Average,5.3,100.0,...,0.0,0.0,...,...,83.8,...,2.9,61.1,...,...,...
Afghanistan,2008,Exporter Type,,Direct exports are 10% or more of sales,Average,8.1,92.5,...,16.7,0.0,...,...,66.7,...,36.4,90.0,...,...,...
Afghanistan,2008,Exporter Type,,Non-exporter,Average,7.1,96.7,...,3.9,0.0,...,...,62.8,...,8.0,57.6,...,...,...
Afghanistan,2008,Gender of Top Manager,,Top manager is female,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Afghanistan,2008,Gender of Top Manager,,Top manager is male,Average,7.0,96.5,...,4.4,0.0,...,...,62.5,...,8.4,58.3,...,...,...
Afghanistan,2008,Ownership Type,,Domestic,Average,7.2,98.7,...,0.0,0.0,...,...,65.5,...,8.0,58.5,...,...,...
Afghanistan,2008,Ownership Type,,10% or more foreign ownership,Average,5.5,48.7,...,100.0,0.0,...,...,4.3,...,18.2,55.6,...,...,...
Afghanistan,2014,,,,Average,9.5,100.0,...,0.0,0.0,...,...,68.4,...,22.1,13.0,...,...,...
Afghanistan,2014,Sector,Manufacturing,All,Average,9.2,100.0,...,0.0,0.0,...,...,68.4,...,32.5,6.6,...,...,...
Afghanistan,2014,Sector,Manufacturing,Manufacturing,Average,9.2,100.0,...,0.0,0.0,...,...,68.4,...,32.5,6.6,...,...,...
Afghanistan,2014,Sector,Services,All,Average,9.6,100.0,...,0.0,0.0,...,...,68.4,...,16.0,16.9,...,...,...
Afghanistan,2014,Sector,Services,Construction,Average,9.9,100.0,...,0.0,0.0,...,...,48.6,...,19.1,11.8,...,...,...
Afghanistan,2014,Sector,Services,Retail,Average,10.6,100.0,...,0.0,0.0,...,...,71.5,...,18.5,19.0,...,...,...
Afghanistan,2014,Sector,Services,Other Services,Average,9.0,100.0,...,0.0,0.0,...,...,72.1,...,13.7,17.1,...,...,...
