Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with female participation in ownership,Percent of firms with majority female ownership,Percent of firms with a female top manager,Proportion of permanent full-time workers that are female (%),Proportion of permanent full-time production workers that are female (%)*,Proportion of permanent full-time non-production workers that are female (%)*
All Countries,,,,,Average,34.4,14.3,18.6,32.7,25.6,35.5
East Asia & Pacific,,,,,Average,47.4,28.6,32.7,37.5,38.5,34.7
Europe & Central Asia,,,,,Average,30.0,12.3,18.6,38.1,35.1,43.5
High income: nonOECD,,,,,Average,39.6,16.4,22.1,41.3,36.6,47.7
High income: OECD,,,,,Average,36.4,11.3,16.9,36.1,26.8,43.7
Latin America & Caribbean,,,,,Average,40.5,24.9,21.7,36.9,23.9,45.0
Middle East & North Africa,,,,,Average,22.9,3.5,4.9,16.0,12.6,15.6
South Asia,,,,,Average,18.4,9.6,11.0,18.3,19.8,18.4
Sub-Saharan Africa,,,,,Average,32.1,12.8,15.7,28.6,19.1,30.6
Afghanistan,2008,,,,Average,2.8,...,0.7,3.3,3.4,0.6
Afghanistan,2008,Sector,Manufacturing,All,Average,2.4,...,0.0,2.2,3.4,0.6
Afghanistan,2008,Sector,Manufacturing,Manufacturing,Average,2.4,...,0.0,2.2,3.4,0.6
Afghanistan,2008,Sector,Services,All,Average,2.9,...,1.0,3.6,...,...
Afghanistan,2008,Sector,Services,Construction,Average,4.7,...,1.2,3.1,...,...
Afghanistan,2008,Sector,Services,Retail,Average,0.0,...,0.0,1.8,...,...
Afghanistan,2008,Sector,Services,Other Services,Average,3.0,...,1.5,5.9,...,...
Afghanistan,2008,Size,,Small (5-19),Average,2.0,...,0.3,3.0,3.0,1.1
Afghanistan,2008,Size,,Medium (20-99),Average,4.8,...,2.1,4.2,4.3,0.3
Afghanistan,2008,Size,,Large (100+),Average,2.4,...,0.0,1.6,0.0,0.0
Afghanistan,2008,Location,,"5 Smaller Cities (Bamyan,Ghazni,Khost,Kunduz,Pul-E-Khumri)",Average,1.0,...,0.0,2.2,2.4,0.0
Afghanistan,2008,Location,,Hirat,Average,3.0,...,0.0,2.5,4.4,0.0
Afghanistan,2008,Location,,Jalalabad,Average,4.9,...,0.0,1.0,1.5,0.0
Afghanistan,2008,Location,,Kabul,Average,2.8,...,1.1,5.4,2.4,0.0
Afghanistan,2008,Location,,Kandahar,Average,5.1,...,3.4,1.4,0.0,0.0
Afghanistan,2008,Location,,Mazar,Average,1.5,...,0.0,4.1,7.9,3.5
Afghanistan,2008,Exporter Type,,Direct exports are 10% or more of sales,Average,16.7,...,0.0,5.2,n.a.,n.a.
Afghanistan,2008,Exporter Type,,Non-exporter,Average,2.5,...,0.8,3.2,3.4,0.7
Afghanistan,2008,Gender of Top Manager,,Top manager is female,Average,n.a.,...,n.a.,n.a.,...,...
Afghanistan,2008,Gender of Top Manager,,Top manager is male,Average,2.1,...,0.0,3.2,3.4,0.6
Afghanistan,2008,Ownership Type,,Domestic,Average,2.8,...,0.8,3.3,3.5,0.7
Afghanistan,2008,Ownership Type,,10% or more foreign ownership,Average,4.3,...,0.0,2.4,n.a.,n.a.
Afghanistan,2014,,,,Average,2.2,0.5,4.7,22.1,34.3,47.2
Afghanistan,2014,Sector,Manufacturing,All,Average,5.3,1.4,8.2,29.6,34.3,47.2
Afghanistan,2014,Sector,Manufacturing,Manufacturing,Average,5.3,1.4,8.2,29.6,34.3,47.2
Afghanistan,2014,Sector,Services,All,Average,0.4,0.0,2.6,11.3,...,...
Afghanistan,2014,Sector,Services,Construction,Average,0.0,0.0,10.9,9.6,...,...
Afghanistan,2014,Sector,Services,Retail,Average,1.2,0.0,1.2,n.a.,...,...
Afghanistan,2014,Sector,Services,Other Services,Average,0.0,0.0,0.9,12.5,...,...
Afghanistan,2014,Size,,Small (5-19),Average,2.1,0.7,2.8,34.2,n.a.,51.1
Afghanistan,2014,Size,,Medium (20-99),Average,2.0,0.2,9.0,16.4,18.9,45.8
Afghanistan,2014,Size,,Large (100+),Average,4.9,0.0,8.4,18.3,n.a.,n.a.
Afghanistan,2014,Location,,Herat,Average,0.2,0.0,0.0,20.8,19.9,50.9
Afghanistan,2014,Location,,Jalalabad,Average,0.1,0.1,0.2,n.a.,n.a.,n.a.
Afghanistan,2014,Location,,Kabul,Average,4.3,1.3,11.5,23.9,51.5,41.0
Afghanistan,2014,Location,,Kandahar,Average,0.0,0.0,0.0,...,...,...
Afghanistan,2014,Location,,Mazar-E-Sharif,Average,3.3,0.0,0.0,n.a.,...,n.a.
Afghanistan,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,10.1,0.0,10.1,n.a.,n.a.,...
Afghanistan,2014,Exporter Type,,Non-exporter,Average,2.3,0.6,5.0,22.1,33.6,47.2
Afghanistan,2014,Gender of Top Manager,,Top manager is female,Average,37.6,11.4,100.0,22.6,52.1,40.9
Afghanistan,2014,Gender of Top Manager,,Top manager is male,Average,0.5,0.0,0.0,22.0,30.7,50.8
Afghanistan,2014,Ownership Type,,Domestic,Average,2.2,0.5,4.7,22.1,34.3,47.2
Angola,2006,,,,Average,23.4,...,...,16.3,13.6,31.9
Angola,2006,Sector,Manufacturing,All,Average,19.7,...,...,16.3,13.6,31.9
Angola,2006,Sector,Manufacturing,Food,Average,36.5,...,...,26.7,22.9,42.9
Angola,2006,Sector,Manufacturing,Garments,Average,19.0,...,...,45.5,44.7,45.6
Angola,2006,Sector,Manufacturing,Other Manufacturing,Average,10.0,...,...,5.9,3.6,21.0
Angola,2006,Sector,Services,All,Average,28.2,...,...,...,...,...
Angola,2006,Sector,Services,Retail,Average,22.2,...,...,...,...,...
Angola,2006,Sector,Services,Other Services,Average,34.7,...,...,...,...,...
Angola,2006,Size,,Small (5-19),Average,21.9,...,...,16.0,13.8,29.6
Angola,2006,Size,,Medium (20-99),Average,32.2,...,...,18.4,12.6,42.6
Angola,2006,Size,,Large (100+),Average,n.a.,...,...,...,n.a.,n.a.
Angola,2006,Location,,Benguela,Average,31.6,...,...,16.0,14.6,38.3
