Economy,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Afghanistan,38.1,38.42,40.5,40.78,40.2,39.73,37.41,40.14,0,0,0,0,0,0
Albania,68.9,61.3,66.56,59.53,59.06,58.83,62.09,61.92,0,0,0,0,0,0
Algeria,47.76,45.88,45.57,50.83,51.16,50.9,50.7,50.96,0,0,0,0,0,0
Angola,38.41,38.46,37.09,43.03,42.7,40.45,37.43,37.53,0,0,0,0,0,0
Antigua and Barbuda,58.04,58.48,58.79,63.38,63.28,64.04,64.33,64.48,0,0,0,0,0,0
Argentina,57.45,57.04,57.76,56.1,55.96,56.99,56.57,56.72,0,0,0,0,0,0
Armenia,73.63,72.16,71.62,69.91,68.34,64.42,61.93,61.37,0,0,0,0,0,0
Australia,80.26,80.25,79.94,81.69,81.63,80.98,81.15,80.8,0,0,0,0,0,0
Austria,78.92,78.88,78.36,77.84,77.87,76.71,76.72,76.36,0,0,0,0,0,0
Azerbaijan,67.99,67.84,66.65,65.74,64.3,63.54,62.37,62.38,0,0,0,0,0,0
"Bahamas, The",56.65,56.82,55.58,65,64.76,64.96,65.4,65.38,0,0,0,0,0,0
Bahrain,68.44,66.38,66.55,68.07,67.35,67.07,67.02,66.89,0,0,0,0,0,0
Bangladesh,40.84,40.68,40.67,45.57,44.93,45.38,47.88,45.32,0,0,0,0,0,0
Barbados,57.42,57.34,57.33,62.75,62.77,62.72,0,0,0,0,0,0,0,0
Belarus,74.13,70.89,71.31,65.02,62.28,58.99,54.07,51.88,0,0,0,0,0,0
Belgium,73,73.02,72.55,74.23,74.2,74.04,73.79,74.04,0,0,0,0,0,0
Belize,58.06,58.06,57.52,61.94,61.91,61.7,61.11,61.19,0,0,0,0,0,0
Benin,48.52,47.5,45.58,44.19,43.8,42.08,39.64,37.96,0,0,0,0,0,0
Bhutan,65.37,65.35,64.78,60.31,59.32,58.87,55.98,56.58,0,0,0,0,0,0
Bolivia,49.85,49.82,48.42,50.14,50.45,50.31,49.98,49.76,0,0,0,0,0,0
Bosnia and Herzegovina,63.87,63.07,62.95,55.39,55.1,54.58,53.16,51.96,0,0,0,0,0,0
Botswana,65.55,65.39,64.53,68.58,67.15,66.65,65.38,64.95,0,0,0,0,0,0
Brazil,56.53,56.6,57.69,53.15,53.24,53.31,53.34,53.73,0,0,0,0,0,0
Brunei Darussalam,65.51,60.28,57.39,65.1,62.6,62.49,60.99,60.81,0,0,0,0,0,0
Bulgaria,73.51,73.08,73.06,68.82,68.51,68.07,68.38,68.25,0,0,0,0,0,0
Burkina Faso,51.33,51.06,49.57,45.41,45.05,44.76,41.5,40.19,0,0,0,0,0,0
Burundi,47.37,47.25,48.11,49.34,45.97,41.22,35.17,34.98,0,0,0,0,0,0
Cabo Verde,55.28,55.3,55.11,59.36,58.85,58.58,55.82,53.32,0,0,0,0,0,0
Cambodia,54.79,54.54,52.91,52.15,52.17,50.99,50.47,50.12,0,0,0,0,0,0
Cameroon,45.27,44.48,44.17,48.48,48.03,46.99,44.62,42.57,0,0,0,0,0,0
Canada,78.57,78.79,79.45,80.52,80.87,80.4,80.81,79.82,0,0,0,0,0,0
Central African Republic,36.25,36.27,36.45,32.75,32.46,33.71,27.51,27.5,0,0,0,0,0,0
Chad,39.07,38.25,38.02,32.06,31.7,31.72,29.05,29.43,0,0,0,0,0,0
Chile,69.56,69.48,70.89,72.12,71.48,72.21,69.66,68.27,0,0,0,0,0,0
China,64.28,62.86,63.14,61.13,59.94,58.58,59.45,56.52,0,0,0,0,0,0
Colombia,70.92,70.45,70.37,70.03,68.99,69.03,66.85,65.7,0,0,0,0,0,0
