Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Senior management time spent dealing with the requirements of government regulation (%),Number of visits or required meetings with tax officials,Percent of firms visited or required to meet with tax officials,"If there were visits, average number of visits or required meetings with tax officials",Days to obtain an operating license,Days to obtain a construction-related permit,Days to obtain an import license,Percent of firms identifying tax rates as a major constraint,Percent of firms identifying tax administration as a major constraint,Percent of firms identifying business licensing and permits as a major constraint
All Countries,,,,,Average,9.7,...,57.5,2.7,28.1,68.9,17.1,30.4,20.7,13.0
East Asia & Pacific,,,,,Average,6.0,...,53.8,2.3,19.5,30.4,20.6,19.6,12.3,10.5
Europe & Central Asia,,,,,Average,12.3,...,62.8,2.5,24.7,75.5,15.2,25.7,14.6,6.1
High income: nonOECD,,,,,Average,8.6,...,42.9,2.1,38.3,139.9,12.2,41.3,22.9,7.0
High income: OECD,,,,,Average,9.4,...,39.7,2.1,43.5,118.2,16.5,26.5,12.4,4.7
Latin America & Caribbean,,,,,Average,11.9,...,52.7,2.9,38.7,71.9,21.1,33.0,21.7,16.8
Middle East & North Africa,,,,,Average,9.5,...,52.0,2.2,21.5,66.6,18.5,32.3,22.4,19.3
South Asia,,,,,Average,7.2,...,63.2,2.5,14.8,55.1,15.5,26.4,18.8,15.9
Sub-Saharan Africa,,,,,Average,8.8,...,69.6,3.1,22.7,50.4,15.0,34.9,29.4,17.5
Afghanistan,2008,,,,Average,6.8,...,56.7,2.1,13.8,46.9,12.6,30.8,17.3,29.5
Afghanistan,2008,Sector,Manufacturing,All,Average,5.8,...,66.1,2.5,16.9,32.4,14.4,35.2,8.1,25.2
Afghanistan,2008,Sector,Manufacturing,Manufacturing,Average,5.8,...,66.1,2.5,16.9,32.4,14.4,35.2,8.1,25.2
Afghanistan,2008,Sector,Services,All,Average,7.1,...,53.9,2.0,12.7,55.0,11.9,29.5,20.1,30.8
Afghanistan,2008,Sector,Services,Construction,Average,7.5,...,53.8,1.7,14.9,55.9,8.9,24.6,28.6,27.6
Afghanistan,2008,Sector,Services,Retail,Average,6.6,...,59.0,1.8,6.8,n.a.,11.6,34.3,13.5,33.7
Afghanistan,2008,Sector,Services,Other Services,Average,7.0,...,50.0,2.6,14.8,n.a.,14.4,32.1,14.6,32.6
Afghanistan,2008,Size,,Small (5-19),Average,5.1,...,52.4,2.1,13.2,28.2,12.6,28.3,12.4,30.1
Afghanistan,2008,Size,,Medium (20-99),Average,9.7,...,66.2,2.1,16.8,72.6,14.4,36.8,27.3,30.8
Afghanistan,2008,Size,,Large (100+),Average,10.6,...,59.5,2.4,7.3,22.4,5.9,31.0,23.8,20.0
Afghanistan,2008,Location,,"5 Smaller Cities (Bamyan,Ghazni,Khost,Kunduz,Pul-E-Khumri)",Average,6.3,...,50.5,2.4,9.1,82.1,14.3,28.6,9.4,27.7
Afghanistan,2008,Location,,Hirat,Average,11.0,...,74.2,2.3,19.4,47.1,n.a.,55.2,32.8,47.0
Afghanistan,2008,Location,,Jalalabad,Average,2.6,...,39.3,3.4,10.6,n.a.,8.9,16.4,5.0,44.3
Afghanistan,2008,Location,,Kabul,Average,10.9,...,61.3,2.0,19.0,22.1,12.0,39.0,28.6,35.2
Afghanistan,2008,Location,,Kandahar,Average,0.3,...,62.7,1.3,10.5,n.a.,20.3,3.4,0.0,2.0
Afghanistan,2008,Location,,Mazar,Average,0.4,...,47.1,1.9,11.7,...,8.7,25.4,10.3,7.4
Afghanistan,2008,Exporter Type,,Direct exports are 10% or more of sales,Average,10.2,...,75.0,2.1,22.0,n.a.,n.a.,18.2,18.2,45.5
Afghanistan,2008,Exporter Type,,Non-exporter,Average,6.7,...,56.4,2.1,13.5,43.6,12.4,30.7,17.1,28.8
Afghanistan,2008,Gender of Top Manager,,Top manager is female,Average,n.a.,...,n.a.,n.a.,n.a.,...,...,n.a.,n.a.,n.a.
Afghanistan,2008,Gender of Top Manager,,Top manager is male,Average,6.8,...,56.6,2.1,13.7,46.9,12.6,30.9,17.5,29.6
Afghanistan,2008,Ownership Type,,Domestic,Average,6.8,...,56.9,2.2,13.8,43.7,12.4,31.3,17.5,29.1
Afghanistan,2008,Ownership Type,,10% or more foreign ownership,Average,6.9,...,43.5,2.1,13.8,n.a.,15.1,18.2,13.6,34.8
Afghanistan,2014,,,,Average,9.8,...,80.5,1.5,13.7,139.6,12.1,45.9,39.1,27.6
Afghanistan,2014,Sector,Manufacturing,All,Average,9.5,...,81.0,1.7,11.3,119.7,15.8,43.7,37.3,25.3
Afghanistan,2014,Sector,Manufacturing,Manufacturing,Average,9.5,...,81.0,1.7,11.3,119.7,15.8,43.7,37.3,25.3
Afghanistan,2014,Sector,Services,All,Average,10.1,...,80.2,1.4,15.8,185.1,9.8,47.2,40.1,29.0
Afghanistan,2014,Sector,Services,Construction,Average,16.7,...,69.4,1.3,18.0,n.a.,5.4,40.4,40.0,32.7
Afghanistan,2014,Sector,Services,Retail,Average,9.4,...,87.7,1.3,14.1,n.a.,12.6,55.7,52.8,25.5
Afghanistan,2014,Sector,Services,Other Services,Average,8.4,...,79.0,1.5,15.7,n.a.,8.8,44.1,32.8,30.0
Afghanistan,2014,Size,,Small (5-19),Average,8.2,...,75.1,1.5,13.7,105.1,8.1,46.0,39.9,31.3
Afghanistan,2014,Size,,Medium (20-99),Average,12.8,...,93.9,1.7,13.2,100.2,15.3,46.9,36.8,19.6
Afghanistan,2014,Size,,Large (100+),Average,13.2,...,85.7,1.8,16.3,n.a.,43.4,40.3,39.7,17.5
Afghanistan,2014,Location,,Herat,Average,5.3,...,100.0,2.1,8.3,n.a.,12.8,79.8,65.4,17.7
Afghanistan,2014,Location,,Jalalabad,Average,9.2,...,94.3,1.3,n.a.,n.a.,n.a.,72.9,38.6,49.7
Afghanistan,2014,Location,,Kabul,Average,16.0,...,84.6,1.4,16.8,126.7,10.0,36.4,38.2,21.4
Afghanistan,2014,Location,,Kandahar,Average,3.7,...,23.3,1.5,17.6,n.a.,19.0,12.6,7.6,12.8
Afghanistan,2014,Location,,Mazar-E-Sharif,Average,4.8,...,77.6,1.3,9.2,n.a.,8.6,26.7,33.9,49.2
Afghanistan,2014,Exporter Type,,Direct exports are 10% or more of sales,Average,4.7,...,34.5,n.a.,28.3,...,n.a.,22.8,22.8,32.8
Afghanistan,2014,Exporter Type,,Non-exporter,Average,10.7,...,79.4,1.5,13.7,103.0,12.0,41.0,35.3,28.2
Afghanistan,2014,Gender of Top Manager,,Top manager is female,Average,13.5,...,62.1,1.5,16.8,n.a.,n.a.,46.1,66.5,17.5
Afghanistan,2014,Gender of Top Manager,,Top manager is male,Average,9.8,...,80.9,1.5,13.6,102.6,12.5,44.6,36.8,28.2
Afghanistan,2014,Ownership Type,,Domestic,Average,9.8,...,80.5,1.5,13.7,139.6,12.1,45.9,39.1,27.6
Angola,2006,,,,Average,7.1,...,68.6,4.8,24.1,42.1,24.3,23.0,18.1,33.3
Angola,2006,Sector,Manufacturing,All,Average,6.0,...,63.5,4.4,18.5,58.7,17.3,29.1,23.9,39.6
Angola,2006,Sector,Manufacturing,Food,Average,6.1,...,75.0,4.8,20.3,41.3,15.2,16.1,13.6,35.8
Angola,2006,Sector,Manufacturing,Garments,Average,3.7,...,42.9,3.5,n.a.,n.a.,n.a.,44.4,31.7,37.2
Angola,2006,Sector,Manufacturing,Other Manufacturing,Average,6.3,...,59.9,4.2,17.3,81.2,n.a.,34.5,28.8,42.2
Angola,2006,Sector,Services,All,Average,8.7,...,75.2,5.3,28.4,28.1,26.0,15.0,10.5,25.0
Angola,2006,Sector,Services,Retail,Average,10.5,...,66.7,4.7,23.4,21.3,23.5,13.6,12.2,33.5
Angola,2006,Sector,Services,Other Services,Average,6.9,...,84.5,5.9,31.8,32.6,32.3,16.6,8.6,15.5
Angola,2006,Size,,Small (5-19),Average,6.8,...,64.3,4.6,23.1,27.7,25.6,22.7,19.0,34.4
Angola,2006,Size,,Medium (20-99),Average,8.2,...,89.2,5.8,23.6,80.2,18.8,21.5,13.4,24.8
Angola,2006,Size,,Large (100+),Average,13.8,...,100.0,6.5,n.a.,n.a.,n.a.,50.0,16.7,50.0
Angola,2006,Location,,Benguela,Average,4.2,...,100.0,3.1,8.0,7.7,8.5,10.7,0.0,39.0
Angola,2006,Location,,Huambo,Average,3.6,...,100.0,3.0,9.7,n.a.,...,27.4,0.0,22.7
